trial,model_kind,window_ms,rmse_%BW,mae_%BW,sensortag,metrics_path,outdir,subject,task,lag_ms,lag_ms_num,suspect_lag,rmse_num
AB01_stairs_1_1_up,hgb,300,25.983173933820336,8.961537703793878,lathigh,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_lathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_lathigh_hgb_w300,AB01,stairs,,,True,25.983173933820336
AB01_stairs_1_1_up,hgb,300,36.636770769839536,15.186930045865813,rathigh,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_rathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_rathigh_hgb_w300,AB01,stairs,,,True,36.636770769839536
AB01_stairs_1_1_up,hgb,300,0.1657272760789218,0.0757990462728639,lshank,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_lshank_hgb_w300,AB01,stairs,,,True,0.1657272760789218
AB01_stairs_1_1_up,hgb,300,45.34637258765615,20.110001678751097,rpelvis,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_rpelvis_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_1_up_rpelvis_hgb_w300,AB01,stairs,,,True,45.34637258765615
AB01_stairs_1_10_down,hgb,300,36.89935285771652,17.09609621831824,lathigh,E:\safestride\out_grid\AB01\AB01_stairs_1_10_down_lathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_10_down_lathigh_hgb_w300,AB01,stairs,,,True,36.89935285771652
AB01_stairs_1_10_down,hgb,300,28.6514653708283,12.39148518622803,lpthigh,E:\safestride\out_grid\AB01\AB01_stairs_1_10_down_lpthigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_10_down_lpthigh_hgb_w300,AB01,stairs,,,True,28.6514653708283
AB01_normal_walk_1_2-0,hgb,300,27.89959106742259,6.481054476527642,rshank,E:\safestride\out_grid\AB01\AB01_normal_walk_1_2-0_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_normal_walk_1_2-0_rshank_hgb_w300,AB01,normal,,,True,27.89959106742259
AB01_meander_1,hgb,300,42.952375239910445,20.550090737387546,lathigh,E:\safestride\out_grid\AB01\AB01_meander_1_lathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_meander_1_lathigh_hgb_w300,AB01,meander,,,True,42.952375239910445
AB01_meander_1,hgb,300,32.33188191953064,11.63462761943278,lpthigh,E:\safestride\out_grid\AB01\AB01_meander_1_lpthigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_meander_1_lpthigh_hgb_w300,AB01,meander,,,True,32.33188191953064
AB01_meander_1,hgb,300,41.29479113356948,19.80469592544129,lshank,E:\safestride\out_grid\AB01\AB01_meander_1_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_meander_1_lshank_hgb_w300,AB01,meander,,,True,41.29479113356948
