trial,model_kind,window_ms,rmse_%BW,mae_%BW,sensortag,metrics_path,outdir
AB01_lift_weight_1_25lbs-r-r,hgb,300,38.40318007949652,16.21171752507335,lshank,E:\safestride\out_grid\AB01\AB01_lift_weight_1_25lbs-r-r_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_lift_weight_1_25lbs-r-r_lshank_hgb_w300
AB01_lift_weight_1_25lbs-r-c,hgb,300,28.33687854124392,8.091815669445207,lshank,E:\safestride\out_grid\AB01\AB01_lift_weight_1_25lbs-r-c_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_lift_weight_1_25lbs-r-c_lshank_hgb_w300
AB01_lift_weight_1_25lbs-l-l,hgb,300,44.44388593834704,19.846029863839064,rshank,E:\safestride\out_grid\AB01\AB01_lift_weight_1_25lbs-l-l_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_lift_weight_1_25lbs-l-l_rshank_hgb_w300
AB01_jump_2_180,hgb,300,42.75484599156718,13.6888142015229,lathigh,E:\safestride\out_grid\AB01\AB01_jump_2_180_lathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_2_180_lathigh_hgb_w300
AB01_jump_2_180,hgb,300,46.02030565519204,15.16618697572662,rathigh,E:\safestride\out_grid\AB01\AB01_jump_2_180_rathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_2_180_rathigh_hgb_w300
AB01_jump_2_180,hgb,300,31.425060770295307,11.861717369145682,lshank,E:\safestride\out_grid\AB01\AB01_jump_2_180_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_2_180_lshank_hgb_w300
AB01_jump_2_180,hgb,300,35.84758966744789,12.998995564945574,rshank,E:\safestride\out_grid\AB01\AB01_jump_2_180_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_2_180_rshank_hgb_w300
AB01_jump_1_hop,hgb,300,25.92458121232813,7.726798186203361,lathigh,E:\safestride\out_grid\AB01\AB01_jump_1_hop_lathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_1_hop_lathigh_hgb_w300
AB01_jump_1_hop,hgb,300,30.510470591287653,8.897781791506995,rathigh,E:\safestride\out_grid\AB01\AB01_jump_1_hop_rathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_1_hop_rathigh_hgb_w300
AB01_jump_1_hop,hgb,300,28.66661048574717,9.787870520676906,rpthigh,E:\safestride\out_grid\AB01\AB01_jump_1_hop_rpthigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_jump_1_hop_rpthigh_hgb_w300
