subject,model_kind,window_ms
AB01,hgb,400
AB02,rf,300
AB03,rf,300
AB05,rf,300
AB06,hgb,300
AB07,rf,300
AB08,rf,300
AB09,hgb,400
AB10,rf,300
AB11,rf,200
AB12,rf,300
