subject,trial,task,sensortag,rmse_%BW,mae_%BW,window_ms,bw_kg,outdir,fz_mean,fz_std,fz_min,fz_max,fz_ptp,fz_absmean,fz_p95,fz_p05,kin_rom_knee_deg,kin_knee_peak1_deg,kin_knee_peak2_deg,kin_knee_peak3_deg,kin_frontal_excursion_deg,kin_knee_var_deg,kin_omega_knee_peak_dps,kin_omega_thigh_peak_dps,kin_omega_shank_peak_dps,kin_jerk_rms,stance_count,stance_mean_dur_s,fz_peak_N,fz_peak_%BW,fz_impulse_Ns,fz_stance_dur_s,fz_ttp_s,fz_loading_rate_Ns,lag_ms
AB01,AB01_weighted_walk_1_25lbs,weighted,lathigh,4.183287530380612,1.394458567792292,300,78.9,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lathigh_hgb_w300,443.9058387950752,387.9291117109902,-126.4323237476115,1011.916294360266,1138.3486181078774,446.5969584995808,925.109331175712,-7.955552764305854,31.88133624387752,13.664310149713518,13.549951479941608,13.49772805807862,470.084238418327,6.324800266457354,331.672606397607,271.03010249311,258.792425236441,319331.49387560907,76.0,0.04105263157895379,,,,,,,
AB01,AB01_weighted_walk_1_25lbs,weighted,rathigh,9.032067245208866,2.9927345859719723,300,78.9,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_rathigh_hgb_w300,437.51955779749824,386.7093060852545,-165.52636784031984,1012.4705455922888,1177.9969134326086,443.34636410380944,929.3718177253386,-17.800537081588665,31.88133624387752,13.664310149713518,13.549951479941608,13.49772805807862,470.084238418327,6.324800266457354,331.672606397607,271.03010249311,258.792425236441,319331.49387560907,76.0,0.04105263157895379,,,,,,,
AB01,AB01_weighted_walk_1_25lbs,weighted,lpthigh,8.921422770720778,2.996406245731736,300,78.9,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpthigh_hgb_w300,428.7211127755667,385.3550154188381,-123.80603472921948,1012.2689731925492,1136.0750079217687,433.6390068498423,928.0241681136306,-17.182948788582227,31.88133624387752,13.664310149713518,13.549951479941608,13.49772805807862,470.084238418327,6.324800266457354,331.672606397607,271.03010249311,258.792425236441,319331.49387560907,76.0,0.04105263157895379,,,,,,,
AB01,AB01_weighted_walk_1_25lbs,weighted,rpthigh,4.852161069996376,1.6619395406469568,300,78.9,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_rpthigh_hgb_w300,443.9678699674827,385.7836676689472,-89.95457035661848,1012.6794026747988,1102.633973031417,447.8033370785989,923.2787868744894,-12.843820774141994,31.88133624387752,13.664310149713518,13.549951479941608,13.49772805807862,470.084238418327,6.324800266457354,331.672606397607,271.03010249311,258.792425236441,319331.49387560907,76.0,0.04105263157895379,,,,,,,
AB01,AB01_weighted_walk_1_25lbs,weighted,lshank,4.568476305500951,1.5778344703617495,300,78.9,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lshank_hgb_w300,438.2786329213835,387.004314528218,-118.23269595484084,1011.32279530913,1129.555491263971,442.3827795859914,917.2635136277072,-10.135367275340142,31.88133624387752,13.664310149713518,13.549951479941608,13.49772805807862,470.084238418327,6.324800266457354,331.672606397607,271.03010249311,258.792425236441,319331.49387560907,76.0,0.04105263157895379,,,,,,,
AB01,AB01_weighted_walk_1_25lbs,weighted,rshank,3.985386302618239,1.4956622119454888,300,78.9,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_rshank_hgb_w300,446.3251669354413,388.4001912476226,-49.27392316514232,1012.0166590105146,1061.290582175657,448.78298854425697,929.8660565841548,-8.384883107213346,31.88133624387752,13.664310149713518,13.549951479941608,13.49772805807862,470.084238418327,6.324800266457354,331.672606397607,271.03010249311,258.792425236441,319331.49387560907,76.0,0.04105263157895379,,,,,,,
AB01,AB01_weighted_walk_1_25lbs,weighted,lpelvis,9.90527303257075,3.2776818780683845,300,78.9,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_lpelvis_hgb_w300,428.5700909921438,385.167489945639,-184.19240638388467,1011.2616530977948,1195.4540594816797,434.6343170281635,921.9325407264504,-18.395647539068545,31.88133624387752,13.664310149713518,13.549951479941608,13.49772805807862,470.084238418327,6.324800266457354,331.672606397607,271.03010249311,258.792425236441,319331.49387560907,76.0,0.04105263157895379,,,,,,,
AB01,AB01_weighted_walk_1_25lbs,weighted,rpelvis,6.186080166367153,1.7404646347203092,300,78.9,E:\safestride\out_grid\AB01\AB01_weighted_walk_1_25lbs_rpelvis_hgb_w300,446.7692300013524,387.9774858871463,-65.0189400479423,1011.6337355434184,1076.6526755913608,449.1428486066114,924.19156497651,-8.32960304284896,31.88133624387752,13.664310149713518,13.549951479941608,13.49772805807862,470.084238418327,6.324800266457354,331.672606397607,271.03010249311,258.792425236441,319331.49387560907,76.0,0.04105263157895379,,,,,,,
AB01,AB01_turn_and_step_1_left-turn,turn,lathigh,19.33317042928025,6.815116627020637,300,78.9,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_lathigh_hgb_w300,679.6620929135337,216.5911325467792,-198.1942642270172,1172.3700817560523,1370.5643459830694,682.5457991770685,849.9646848068122,52.04698437967314,41.33693966505257,31.188966692751062,31.180221050164143,31.161560509049345,418.6893447030602,9.188338183286572,359.897844048308,314.725991821456,271.188371636558,168965.20435237302,35.0,0.07714285714285714,,,,,,,
AB01,AB01_turn_and_step_1_left-turn,turn,rathigh,14.832838829388317,4.905763928564483,300,78.9,E:\safestride\out_grid\AB01\AB01_turn_and_step_1_left-turn_rathigh_hgb_w300,680.9491268550161,222.73200061244464,-189.54623763878044,1175.0863109806414,1364.632548619422,684.997848116548,857.5236155729866,34.58473705081129,41.33693966505257,31.188966692751062,31.180221050164143,31.161560509049345,418.6893447030602,9.188338183286572,359.897844048308,314.725991821456,271.188371636558,168965.20435237302,35.0,0.07714285714285714,,,,,,,
