trial,sensortag,model_kind,window_ms,rmse_%BW,mae_%BW,rmse_N,mae_N,metrics_path,outdir,rmse_num,lag_samples,lag_ms,within_cap,path
AB01_stairs_1_9_up,lshank,hgb,300,0.3351082739753007,0.1474192190972695,2.5928824588791275,1.1406483724336285,E:\safestride\out_grid\AB01\AB01_stairs_1_9_up_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_9_up_lshank_hgb_w300,0.3351082739753007,,,,
AB01_stairs_1_7_up,lpthigh,hgb,300,41.11121942188332,18.56327845730109,318.0958752155099,143.63238042511722,E:\safestride\out_grid\AB01\AB01_stairs_1_7_up_lpthigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_7_up_lpthigh_hgb_w300,41.11121942188332,,,,
AB01_stairs_1_7_up,lpelvis,hgb,300,38.22246817956482,17.39227559744183,295.74431601519905,134.57180803575815,E:\safestride\out_grid\AB01\AB01_stairs_1_7_up_lpelvis_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_7_up_lpelvis_hgb_w300,38.22246817956482,,,,
AB01_stairs_1_7_up,rpelvis,hgb,300,30.90139012417647,11.686212149260315,239.09786367693036,90.42144538272596,E:\safestride\out_grid\AB01\AB01_stairs_1_7_up_rpelvis_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_7_up_rpelvis_hgb_w300,30.90139012417647,,,,
AB01_stairs_1_5_up,lathigh,hgb,300,28.43969019967025,10.41235731962141,220.0505913504145,80.56506134377912,E:\safestride\out_grid\AB01\AB01_stairs_1_5_up_lathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_5_up_lathigh_hgb_w300,28.43969019967025,,,,
AB01_stairs_1_5_up,rathigh,hgb,300,33.4699854416387,15.400594958253164,258.97223342495323,119.16128494786184,E:\safestride\out_grid\AB01\AB01_stairs_1_5_up_rathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_5_up_rathigh_hgb_w300,33.4699854416387,,,,
AB01_stairs_1_5_up,rpelvis,hgb,300,25.454092336114226,9.95631331742501,196.94968656567616,77.0364451155232,E:\safestride\out_grid\AB01\AB01_stairs_1_5_up_rpelvis_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_5_up_rpelvis_hgb_w300,25.454092336114226,,,,
AB01_stairs_1_4_down,rathigh,hgb,300,25.058021351631545,8.87677307053757,193.88510837441424,68.68355983279575,E:\safestride\out_grid\AB01\AB01_stairs_1_4_down_rathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_4_down_rathigh_hgb_w300,25.058021351631545,,,,
AB01_stairs_1_3_up,rpthigh,hgb,300,33.911580831168074,15.117068930110628,262.3890542806418,116.96751737451736,E:\safestride\out_grid\AB01\AB01_stairs_1_3_up_rpthigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_3_up_rpthigh_hgb_w300,33.911580831168074,,,,
AB01_stairs_1_3_up,rpelvis,hgb,300,40.41301451875846,18.42180012195524,312.6935518871719,142.5376993249522,E:\safestride\out_grid\AB01\AB01_stairs_1_3_up_rpelvis_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_stairs_1_3_up_rpelvis_hgb_w300,40.41301451875846,,,,
