subject,trial,sensors,model_kind,window_ms
AB02,AB02_cutting_1_left-fast,thigh-shank,hgb,300
AB02,AB02_cutting_1_left-fast,thigh-shank,hgb,300
AB02,AB02_cutting_1_left-fast,thigh-shank,hgb,300
AB02,AB02_cutting_1_left-fast,thigh-shank,hgb,300
AB02,AB02_cutting_1_left-fast,thigh-shank,hgb,300
AB03,AB03_cutting_1_left-fast,thigh-shank,hgb,300
AB03,AB03_cutting_1_left-fast,thigh-shank,hgb,300
AB03,AB03_cutting_1_left-fast,thigh-shank,hgb,300
AB03,AB03_cutting_1_left-fast,thigh-shank,hgb,300
AB03,AB03_cutting_1_left-fast,thigh-shank,hgb,300
AB05,AB05_cutting_1_left-fast,thigh-shank,hgb,300
AB05,AB05_cutting_1_left-fast,thigh-shank,hgb,300
AB05,AB05_cutting_1_left-fast,thigh-shank,hgb,300
AB05,AB05_cutting_1_left-fast,thigh-shank,hgb,300
AB05,AB05_cutting_1_left-fast,thigh-shank,hgb,300
AB06,AB06_cutting_1_left-fast,thigh-shank,hgb,300
AB06,AB06_cutting_1_left-fast,thigh-shank,hgb,300
AB06,AB06_cutting_1_left-fast,thigh-shank,hgb,300
AB06,AB06_cutting_1_left-fast,thigh-shank,hgb,300
AB06,AB06_cutting_1_left-fast,thigh-shank,hgb,300
AB07,AB07_cutting_1_left-fast,thigh-shank,hgb,300
AB07,AB07_cutting_1_left-fast,thigh-shank,hgb,300
AB07,AB07_cutting_1_left-fast,thigh-shank,hgb,300
AB07,AB07_cutting_1_left-fast,thigh-shank,hgb,300
AB07,AB07_cutting_1_left-fast,thigh-shank,hgb,300
AB08,AB08_cutting_1_left-fast,thigh-shank,hgb,300
AB08,AB08_cutting_1_left-fast,thigh-shank,hgb,300
AB08,AB08_cutting_1_left-fast,thigh-shank,hgb,300
AB08,AB08_cutting_1_left-fast,thigh-shank,hgb,300
AB08,AB08_cutting_1_left-fast,thigh-shank,hgb,300
AB09,AB09_cutting_1_left-fast,thigh-shank,hgb,300
AB09,AB09_cutting_1_left-fast,thigh-shank,hgb,300
AB09,AB09_cutting_1_left-fast,thigh-shank,hgb,300
AB09,AB09_cutting_1_left-fast,thigh-shank,hgb,300
AB09,AB09_cutting_1_left-fast,thigh-shank,hgb,300
AB10,AB10_cutting_1_left-fast,thigh-shank,hgb,300
AB10,AB10_cutting_1_left-fast,thigh-shank,hgb,300
AB10,AB10_cutting_1_left-fast,thigh-shank,hgb,300
AB10,AB10_cutting_1_left-fast,thigh-shank,hgb,300
AB10,AB10_cutting_1_left-fast,thigh-shank,hgb,300
AB11,AB11_cutting_1_left-fast,thigh-shank,hgb,300
AB11,AB11_cutting_1_left-fast,thigh-shank,hgb,300
AB11,AB11_cutting_1_left-fast,thigh-shank,hgb,300
AB11,AB11_cutting_1_left-fast,thigh-shank,hgb,300
AB11,AB11_cutting_1_left-fast,thigh-shank,hgb,300
AB12,AB12_cutting_1_left-fast,thigh-shank,hgb,300
AB12,AB12_cutting_1_left-fast,thigh-shank,hgb,300
AB12,AB12_cutting_1_left-fast,thigh-shank,hgb,300
AB12,AB12_cutting_1_left-fast,thigh-shank,hgb,300
AB12,AB12_cutting_1_left-fast,thigh-shank,hgb,300
