Fx_N,Fy_N,Fz_N,Fx_BW,Fy_BW,Fz_BW
137.898,-139.764,1226.81,0.18742507645259937,-0.1899612640163099,1.6674277947672442
138.43,-145.975,1226.47,0.18814814814814815,-0.1984029901461094,1.666965681277608
139.184,-152.397,1224.09,0.18917295276928303,-0.207131498470948,1.6637308868501528
140.18,-158.932,1219.75,0.19052667346245328,-0.21601359157322458,1.6578321440706763
141.342,-165.458,1213.56,0.1921060142711519,-0.22488345225959905,1.6494189602446483
142.494,-171.863,1205.64,0.1936717635066259,-0.23358885490995582,1.6386544342507647
143.366,-178.088,1196.0,0.19485694869181108,-0.2420496092422698,1.6255521576622494
143.642,-184.148,1184.56,0.19523207611281004,-0.25028610261637785,1.6100033978933062
143.047,-190.089,1171.09,0.19442337750594632,-0.25836085626911315,1.5916955487597688
141.452,-195.93,1155.23,0.19225552157662248,-0.2662996941896025,1.5701393136255521
138.923,-201.608,1136.59,0.18881821270812096,-0.27401698946653075,1.5448046211348962
135.656,-206.994,1114.8,0.18437784573564392,-0.2813374108053007,1.5151885830784912
131.845,-211.934,1089.55,0.17919809717974855,-0.2880516479782535,1.4808698606863744
127.557,-216.285,1060.69,0.17337003058103975,-0.29396534148827724,1.4416445803601767
122.703,-219.93,1028.17,0.16677268093781855,-0.29891946992864427,1.3974447842337752
117.102,-222.776,992.03,0.15916004077471968,-0.30278763166836564,1.348324838600068
110.593,-224.755,952.369,0.15031328576282704,-0.3054774040095141,1.294419300033979
103.106,-225.815,909.241,0.14013727488956845,-0.30691811077132175,1.2358015630309207
94.6555,-225.892,862.626,0.1286517159361196,-0.3070227658851512,1.1724444444444444
85.2974,-224.865,812.41,0.11593258579680597,-0.3056269113149847,1.1041930003397893
75.0876,-222.486,758.437,0.1020558613659531,-0.30239347604485217,1.0308352021746516
64.116,-218.322,700.606,0.08714373088685015,-0.29673394495412847,0.9522337750594632
52.5964,-211.739,639.042,0.07148678219503908,-0.2877866123003738,0.8685586136595311
40.9444,-201.989,574.284,0.05564988107373429,-0.27453482840638804,0.7805423037716616
29.7643,-188.408,507.432,0.0404543662928984,-0.25607611281005777,0.6896799184505606
19.7272,-170.682,440.153,0.026812368331634386,-0.23198369011213046,0.5982371729527693
11.3993,-149.057,374.523,0.015493442065919131,-0.20259191301393134,0.5090356778797146
5.10375,-124.42,312.719,0.0069367991845056065,-0.1691063540604825,0.4250343187223921
0.869653,-98.2072,256.655,0.0011819952429493715,-0.13347903499830105,0.34883452259599046
-1.53756,-72.18,207.672,-0.0020897859327217126,-0.09810397553516821,0.28225891946992865
-2.53251,-48.1063,166.363,-0.0034420795107033635,-0.0653840299014611,0.2261134896364254
-2.60297,-27.4337,132.583,-0.003537845735643901,-0.03728671423717295,0.1802011552837241
-2.20106,-11.0387,105.606,-0.0029915868161739722,-0.015003329935440029,0.14353516819571865
-1.65666,0.867894,84.3467,-0.0022516615698267074,0.0011796044852191642,0.11464043493034319
-1.13828,8.65166,67.5835,-0.0015471015970098538,0.01175896704043493,0.09185660890248046
-0.675795,13.0335,54.1372,-0.0009185117227319062,0.017714576962283384,0.07358097179748556
-0.232383,14.8317,42.9942,-0.00031584505606523956,0.020158613659531092,0.05843588175331294
0.21443,14.7671,33.3917,0.00029144410465511386,0.02007081209650017,0.04538457356439008
0.629642,13.3896,24.8712,0.0008557825348284064,0.018198572884811418,0.03380387359836901
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
