time_s,axx_thigh,axy_thigh,axz_thigh,gxx_thigh,gxy_thigh,gxz_thigh,axx_shank,axy_shank,axz_shank,gxx_shank,gxy_shank,gxz_shank
10.0,-0.555387675762177,-9.92728424072266,-0.0840648785233498,-11.2990666845098,-15.5777541664734,-3.78638751026968,-3.86353659629822,-9.37710952758789,-2.54822826385498,-8.48177330755144,-1.68612205629392,-29.8632262966965
10.005,-0.43336495757103,-9.89511108398438,-0.0808560475707054,-10.8628643371298,-13.4567814999248,-4.70908715675681,-3.64107871055603,-9.52410221099854,-2.55731344223022,-8.76772088470132,-2.77007542545247,-30.6847375444036
10.01,-0.341346234083176,-9.85980224609375,-0.114157825708389,-10.457918642939,-11.3940387573716,-5.66462635277336,-3.44680595397949,-9.69583606719971,-2.52138829231262,-8.86062938666006,-3.76402461715341,-31.1544564838145
10.015,-0.224035069346428,-9.79369831085205,-0.188378512859344,-10.2062500776861,-9.55903074344585,-6.50639807599277,-3.32619547843933,-9.76502513885498,-2.52036547660828,-8.63143812019205,-5.62885964029777,-31.5998155535506
10.02,-0.131723895668983,-9.7061014175415,-0.292914301156998,-9.90957910353935,-6.60563730953847,-7.81125961314681,-3.20315837860107,-9.77516937255859,-2.56045389175415,-8.63267865330005,-7.05138484628361,-31.7222466944231
10.025,-0.0621956251561642,-9.62996673583984,-0.435985147953033,-9.39598815154212,-3.19325729784035,-9.40604048245309,-3.02629613876343,-9.73479747772217,-2.65623593330383,-8.70113849312474,-7.82347626025103,-31.6406156885577
10.03,-0.0150804687291384,-9.5922212600708,-0.6264927983284,-8.51536503166321,0.181381703186065,-11.17065827434,-2.75140476226807,-9.64760875701904,-2.82272744178772,-8.71102689949563,-7.73966130139851,-31.4370316550617
10.035,0.0510402396321297,-9.5612850189209,-0.852964997291565,-7.4055250321069,3.31405324873685,-13.1418039112551,-2.53851556777954,-9.65923690795898,-2.866863489151,-8.16274370915661,-7.42687278835777,-31.9500437485268
10.04,0.12851494550705,-9.57349967956543,-1.10515356063843,-6.36068538156066,6.37747270588008,-15.1256554075738,-2.42711663246155,-9.69182300567627,-2.86908054351807,-7.5092738980521,-6.97545918280928,-32.2556742233173
10.045,0.222596913576126,-9.61838436126709,-1.35424566268921,-5.38569423367473,9.35435217213537,-17.0089041938336,-2.36877298355103,-9.70908260345459,-2.90127110481262,-6.93684513522344,-6.44484441119262,-32.2355798067792
10.05,0.34116393327713,-9.68528461456299,-1.56380236148834,-4.49201307276322,12.2163158400393,-18.6414423488717,-2.30671095848083,-9.6642427444458,-3.05606627464294,-6.68566919736445,-5.90359716947236,-31.716034637373
10.055,0.461423069238663,-9.7141637802124,-1.69657731056213,-3.68714016587434,14.2845662763845,-20.056438978845,-2.25493407249451,-9.6222677230835,-3.18709683418274,-5.49327013998926,-3.74379658503959,-31.5519051916176
10.06,0.564304947853088,-9.72110176086426,-1.78167915344238,-3.14805980166826,15.8345385434146,-21.2334906011551,-2.26106095314026,-9.60235118865967,-3.23871374130249,-4.17173525729757,-1.28509582346967,-31.6660513130268
10.065,0.640272974967957,-9.72311592102051,-1.82306480407715,-3.02827215744799,17.1249234946228,-22.1942062267889,-2.29268646240234,-9.59235095977783,-3.23219919204712,-2.88434641125748,0.981026473791278,-31.9000501788969
10.07,0.670432388782501,-9.75024127960205,-1.82056570053101,-3.64412619580254,18.5895516941999,-22.9589005458852,-2.28608369827271,-9.56828212738037,-3.20761680603027,-1.85859329746002,2.24198846415894,-31.9744685049988
10.075,0.670738399028778,-9.76068305969238,-1.7505692243576,-4.77718200834772,20.0398826002968,-23.5203591711332,-2.31481575965881,-9.54672145843506,-3.21401166915894,-0.611939592908185,4.35966876608412,-31.6365175750557
10.08,0.636784911155701,-9.78588485717773,-1.64171373844147,-5.8878651093797,21.2809826140015,-23.9403372579135,-2.37047839164734,-9.53920459747314,-3.22688460350037,0.490842099832005,6.61224679822093,-31.185089882242
10.085,0.570626080036163,-9.81347560882568,-1.50536572933197,-6.92413458006487,22.326968028781,-24.2307688542535,-2.44283986091614,-9.55832004547119,-3.19396471977234,1.3582747904023,8.59835268385251,-30.7783555322624
10.09,0.476912409067154,-9.79625511169434,-1.36167764663696,-7.92404481936394,23.2720544740465,-24.3921252432059,-2.5067093372345,-9.63892078399658,-2.96793842315674,1.83549338424363,9.3886243538432,-30.7718122110375
10.095,0.351076900959015,-9.79339981079102,-1.28130316734314,-9.09444810629075,24.4805625325792,-24.5013177699196,-2.54899525642395,-9.67404842376709,-2.78352069854736,2.62565534432078,10.4558217748638,-30.7628919839815
10.1,0.229466542601585,-9.84846305847168,-1.24896442890167,-9.91913368441456,25.6550545414979,-24.6287178734132,-2.59968042373657,-9.69358158111572,-2.62270879745483,3.33072360606674,12.0229267176532,-30.4872221339852
10.105,0.117324233055115,-9.9626350402832,-1.26412916183472,-10.2668082424148,26.6609638213224,-24.7883906207352,-2.64380216598511,-9.69439792633057,-2.50335454940796,3.86108075148564,14.3110033773407,-29.9785301351701
10.11,0.0027694606687873,-10.0979309082031,-1.33958983421326,-10.0409782827921,27.1677792256629,-24.9756009832434,-2.58155298233032,-9.63204383850098,-2.52677130699158,4.19655274964681,18.1287034629735,-29.658593829163
10.115,-0.0566396154463291,-10.2182388305664,-1.46513056755066,-9.76107883815223,27.2280402771627,-25.0800738492406,-2.49738788604736,-9.61448383331299,-2.40926551818848,4.63519091323962,20.1141438320478,-30.123374541804
10.12,-0.0951706618070602,-10.3174743652344,-1.60970830917358,-9.3471147329361,26.9994850720611,-25.2190903969652,-2.56239223480225,-9.61500549316406,-2.25486087799072,5.08255378972347,20.7219418757197,-31.0255878896493
10.125,-0.128510937094688,-10.3913259506226,-1.75804400444031,-8.75940769070776,26.5227976321495,-25.4098234295378,-2.82456517219543,-9.61122417449951,-2.11851501464844,5.4147929739731,20.2324905197966,-32.1804294443259
10.13,-0.193141877651215,-10.4273099899292,-1.86851322650909,-7.93402201819404,25.7618838227588,-25.4584475462391,-3.1601197719574,-9.49298858642578,-2.16305208206177,4.89865564207593,19.9831715396182,-32.9551743867859
10.135,-0.202158033847809,-10.4475374221802,-1.9808474779129,-6.45288183629843,24.4925904957076,-25.1442981180062,-3.33740663528442,-9.29829502105713,-2.28812074661255,4.27858076025773,20.3982489656691,-33.3735439640167
10.14,-0.134733617305756,-10.4474029541016,-2.10812473297119,-4.54638351299064,23.0664879781439,-24.4213891887048,-3.38154220581055,-9.10968017578125,-2.48316645622253,3.55915757531052,20.4319593643177,-33.9377927215406
10.145,0.021164434030652,-10.4248199462891,-2.25180912017822,-2.35825706685278,21.7038788991047,-23.2468681514821,-3.30210304260254,-8.97906970977783,-2.73956346511841,2.76831345009001,19.5611307357085,-34.904390847597
10.15,0.207845389842987,-10.4062967300415,-2.299072265625,-0.71219545742316,21.1869701827182,-21.6950047758256,-3.16601729393005,-9.05097675323486,-2.93233799934387,2.46449767118456,18.6848089274595,-35.9725538866116
10.155,0.410212874412537,-10.4269466400146,-2.18690252304077,0.226696139667265,21.3299619005397,-20.2852571462295,-3.05569291114807,-9.16670703887939,-3.14181685447693,2.72545934913347,19.8260174245527,-36.7740116989155
10.16,0.582844436168671,-10.4905614852905,-1.94162917137146,0.733748546235958,21.7637369694434,-19.0809957578133,-2.94778251647949,-9.30681991577148,-3.34091520309448,3.32237348636298,22.1034620410234,-37.4533286533866
10.165,0.687767088413239,-10.6027879714966,-1.57605946063995,1.00166346348165,22.2123164733732,-18.1452410585014,-2.82385206222534,-9.45733642578125,-3.50744009017944,4.09368241678361,24.8852649012808,-38.1180870596418
10.17,0.748822331428528,-10.7067127227783,-1.24579071998596,1.13059118147187,22.7727744759078,-17.3839823245576,-2.77261424064636,-9.56453418731689,-3.57131743431091,4.69007745963619,27.1805141133704,-38.6565894190894
10.175,0.808243036270142,-10.7702598571777,-1.02056276798248,1.4208444458415,24.1261593844729,-16.5178409132664,-2.78574967384338,-9.66539859771729,-3.58666729927063,5.67666199986457,30.7856774950526,-39.4028661330887
10.18,0.857517063617706,-10.8103189468384,-0.829910278320313,1.94412391445468,26.1233135279738,-15.5854825255192,-2.86601829528809,-9.78100490570068,-3.5342845916748,6.90742665669455,34.9162480559962,-40.2581355907686
