time_s,axx_thigh,axy_thigh,axz_thigh,gxx_thigh,gxy_thigh,gxz_thigh,axx_shank,axy_shank,axz_shank,gxx_shank,gxy_shank,gxz_shank
5.0,-0.022968590259552,-10.4388189315796,-1.62971591949463,-32.5960567006049,84.3542296082482,-19.4527766147155,-0.310106933116913,-9.66606140136719,-1.05829238891602,-24.5537480095359,30.7346764725201,-36.0999710655782
5.005,-0.783368051052094,-10.5582580566406,-1.82258141040802,-26.829403116444,88.1776055810812,-20.8528219605955,-0.820939421653748,-9.68159103393555,-1.22512567043304,-25.7435003686077,31.3192552881086,-39.2173616103258
5.01,-1.64207601547241,-10.6176614761353,-2.10608720779419,-21.3472354489506,91.3942695103204,-22.0668385666938,-1.34708607196808,-9.81160068511963,-1.31643772125244,-26.7271620147581,29.8391532949668,-42.6963765206797
5.015,-2.52456402778625,-10.6192245483398,-2.44510793685913,-16.2666453386136,93.6560456728351,-22.9547204701131,-1.83780801296234,-9.99077224731445,-1.40090334415436,-27.5548699515897,26.7871310756708,-46.5011538884028
5.02,-3.33902335166931,-10.5612554550171,-2.79978227615356,-11.7656317840715,94.45202225833,-23.3153544582898,-2.22663140296936,-10.1408205032349,-1.56427955627441,-28.2776303242766,22.6613740905448,-50.6116880894161
5.025,-3.94904494285583,-10.5123338699341,-3.033043384552,-8.16588388862752,92.0292448766998,-23.0613021570166,-2.53133988380432,-10.1628351211548,-1.79930579662323,-29.1291073194198,18.0639600998309,-54.7788992001622
5.03,-4.38015365600586,-10.492977142334,-3.14996242523193,-5.61663018658886,88.996354017269,-22.6576584676364,-2.75778841972351,-10.146240234375,-1.9656947851181,-29.8878013173303,13.224934997417,-58.7321819559143
5.035,-4.63858604431152,-10.4927034378052,-3.15753078460693,-3.81844969889419,84.8669104375385,-22.0213904879565,-2.90665531158447,-10.0977487564087,-2.07556962966919,-30.7572980590512,8.57299646033248,-62.4957937735098
5.04,-4.71529722213745,-10.4915027618408,-3.05694985389709,-2.26737008744494,78.3292241187315,-20.9217129561116,-2.9704442024231,-10.0173120498657,-2.16071891784668,-32.1583030465097,4.91588949001234,-66.1242156568632
5.045,-4.63775062561035,-10.441330909729,-2.85955452919006,-1.16436209132764,69.7482184078236,-19.3345784835811,-3.0534815788269,-9.93692874908447,-2.15743064880371,-33.7345092163681,3.1829097746912,-69.6847932711908
5.05,-4.49563026428223,-10.3877067565918,-2.60589170455933,-0.50845203505959,60.857723165244,-17.6437463715242,-3.14056968688965,-9.85002613067627,-2.19387531280518,-35.2723433834694,3.16281898669102,-73.3870973107962
5.055,-4.30784845352173,-10.3553476333618,-2.30814456939697,-0.3372437385597,52.0323537764005,-15.9274461915997,-3.2299382686615,-9.76039409637451,-2.2847900390625,-36.6844815792749,4.38373451073784,-77.3199270650787
5.06,-4.09265327453613,-10.4015407562256,-1.98300278186798,-0.804548206099048,43.737392972838,-14.2714062094012,-3.32217144966125,-9.68120384216309,-2.43139290809631,-37.7831516582173,5.66253887620828,-81.6863850391979
5.065,-3.88854360580444,-10.5079832077026,-1.74236845970154,-2.01404989707339,36.8506976478218,-12.5384335377126,-3.34799742698669,-9.65227794647217,-2.42409539222717,-39.0744364868487,7.05777534202581,-86.1164115839223
5.07,-3.67631697654724,-10.6806564331055,-1.51775825023651,-3.4219324581392,31.0328620411154,-10.7467681967125,-3.36334776878357,-9.68899345397949,-2.42053294181824,-40.2487235900923,8.69916969109648,-89.7590607513168
5.075,-3.46911120414734,-10.9190263748169,-1.31752169132233,-4.65991705180871,26.2069423641714,-8.89868549316808,-3.36981415748596,-9.8069543838501,-2.44996356964111,-41.3512390655374,10.8080059652636,-92.6644729600785
5.08,-3.34743595123291,-11.2146224975586,-1.249107837677,-4.55318382008304,22.3532932853895,-6.98656763172066,-3.3188943862915,-10.0636224746704,-2.49128985404968,-42.902665309087,14.2872249275189,-95.9175349674046
