Fx_N,Fy_N,Fz_N,Fx_BW,Fy_BW,Fz_BW
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
49.0282,-15.51725,24.8994,0.06663703703703704,-0.021090383961943595,0.03384220183486238
44.82044,-24.42606,47.26361,0.06091802922188243,-0.03319885830784913,0.06423868161739721
40.12897,-31.55889,74.17808,0.05454158341828067,-0.04289349643221203,0.10081968059802922
35.77261,-35.07582,103.7661,0.0486206048250085,-0.04767355759429154,0.14103445463812436
32.46099,-33.80938,134.2233,0.044119592252803264,-0.0459522663948352,0.18243058103975535
30.51652,-27.56894,164.4002,0.04147675161399932,-0.037470526673462456,0.2234457356439008
29.75217,-17.11551,194.1326,0.04043787971457696,-0.023262670744138635,0.2638567448182127
29.58276,-3.846197,224.1865,0.040207624872579,-0.005227586816173972,0.30470472307169555
29.32352,10.65388,255.839,0.03985527692830445,0.01448029901461094,0.34772545022086304
28.5314,25.01086,290.2755,0.03877866123003738,0.033993693510023786,0.39453007135575946
27.23469,38.30211,328.0716,0.03701622833843017,0.05205859327217125,0.44590091743119264
25.96503,50.12271,368.9838,0.03529056065239551,0.06812464831804281,0.5015070336391437
25.59808,60.52064,412.1302,0.03479181787291879,0.0822570710159701,0.5601497791369351
27.07375,69.85479,456.4453,0.03679748555895345,0.0949436493374108,0.6203809717974855
31.09188,78.62304,501.1537,0.04225875637104995,0.10686108053007136,0.6811467210329596
37.87658,87.29754,546.0003,0.05148023105674481,0.11865109072375127,0.7421003058103977
47.08243,96.19512,591.1197,0.0639924294937139,0.1307443017329256,0.8034246687054026
57.87672,105.4049,636.6331,0.07866356778797146,0.14326184165817193,0.865284539585457
69.17603,114.786,682.2052,0.0940211077132178,0.15601223241590215,0.9272241930003398
79.96158,124.0256,726.8108,0.10868036697247706,0.16857030241250423,0.9878502208630648
89.56547,132.724,768.8495,0.12173356439007815,0.18039279646619094,1.0449874277947673
97.82576,140.4715,806.5775,0.1329605980292219,0.1909228678219504,1.096265715256541
105.0512,146.9056,838.666,0.1427811077132178,0.19966782195039076,1.1398790349983012
111.8084,151.7566,864.634,0.15196520557254503,0.20626109412164456,1.1751736323479443
118.621,154.8834,884.9715,0.16122460074753653,0.21051090723751273,1.2028154943934761
125.715,156.2879,900.9207,0.1708664627930683,0.21241984369690792,1.2244929663608564
132.918,156.104,914.0326,0.18065647298674822,0.21216989466530753,1.2423141012572205
139.7413,154.5665,925.6873,0.18993041114509004,0.21008019028202513,1.2581546721032961
145.5758,151.9713,936.7504,0.19786041454298334,0.20655290519877678,1.273191165477404
149.8995,148.6279,947.4553,0.20373700305810397,0.20200869860686377,1.2877408086986069
152.4137,144.8074,957.5011,0.2071541963982331,0.19681603805640502,1.3013946313285762
153.086,140.7011,966.2894,0.20806795786612303,0.19123493034318723,1.3133393136255522
152.1172,136.4062,973.1959,0.20675120625212368,0.18539748555895347,1.3227263336731228
149.8691,131.9423,977.789,0.2036956846755012,0.1793303431872239,1.3289690791709141
146.7831,127.2871,979.9357,0.1995013251783894,0.17300319401970776,1.331886782195039
143.3098,122.4137,979.7866,0.19478056405028882,0.16637947672443085,1.3316841318382604
139.8578,117.3195,977.6656,0.19008875297315664,0.15945565749235474,1.3288013591573224
136.7566,112.0427,973.9216,0.18587373428474344,0.15228365613319741,1.323712674142032
134.2307,106.6635,968.7984,0.18244063880394157,0.14497247706422017,1.3167494393476045
132.3867,101.294,962.3655,0.17993435270132516,0.13767448182127082,1.308006116207951
131.222,96.05564,954.5274,0.17835134216785595,0.13055472646958885,1.2973529051987767
130.6569,91.05359,945.0989,0.17758328236493376,0.12375615358477744,1.2845380903839618
130.5794,86.3546,933.9117,0.17747794767244307,0.11736948691811078,1.2693329255861365
130.879,81.9782,920.9169,0.17788515120625212,0.1114212708120965,1.2516709480122326
131.4575,77.89995,906.2565,0.1786714237172953,0.1058782874617737,1.2317451580020387
132.217,74.06186,890.287,0.17970370370370373,0.10066171933401291,1.2100400951410126
133.0427,70.38794,873.5517,0.18082595990485897,0.0956682840638804,1.1872941896024465
133.7967,66.80583,856.7107,0.18185076452599386,0.09079963302752293,1.1644046211348964
134.3274,63.27199,840.4509,0.18257206931702347,0.08599658851512063,1.14230499490316
134.4924,59.78946,825.3977,0.18279633027522937,0.08126328236493374,1.121845327896704
134.1853,56.40473,812.0438,0.18237893306150188,0.07666290180088345,1.1036952769283046
133.363,53.18308,800.7067,0.18126129799524296,0.07228417261297995,1.0882863744478424
132.0653,50.17687,791.5148,0.1794975195378865,0.06819826027862726,1.0757931362555215
130.4176,47.40436,784.4174,0.17725803601766904,0.06442998301053346,1.0661466530750936
128.611,44.8476,779.2172,0.17480258239891266,0.06095494393476045,1.0590787631668366
126.8596,42.46506,775.6229,0.1724221542643561,0.05771669724770642,1.0541935440027184
125.3469,40.20789,773.3163,0.17036615698267074,0.054648848114169216,1.0510585117227318
124.1813,38.03121,772.0205,0.16878192320761126,0.05169039755351682,1.0492973156642882
123.3781,35.89946,771.5521,0.16769024804621135,0.04879301393136255,1.0486606863744479
122.8771,33.78793,771.8424,0.16700931022765886,0.04592311247026844,1.049055249745158
122.5859,31.67968,772.9244,0.16661352361535847,0.04305766904519198,1.0505258579680599
122.4258,29.55638,774.8932,0.16639592252803262,0.04017177030241251,1.0532017669045193
122.3557,27.38725,777.8552,0.16630064559972818,0.037223581379544686,1.057227590893646
122.3674,25.12537,781.8805,0.16631654774040094,0.03414933061501869,1.0626986068637445
122.463,22.71786,786.9671,0.16644648318042812,0.030877145769622836,1.0696120965001699
122.638,20.12663,793.0168,0.16668433571185864,0.027355256540944613,1.0778345905538567
122.881,17.34813,799.8289,0.16701461094121645,0.023578837920489298,1.0870933061501868
123.1859,14.42129,807.1178,0.16742901800883453,0.019600801902820254,1.0970000679578662
123.5644,11.42232,814.555,0.16794345905538566,0.01552472986748216,1.1071083927964662
124.047,8.451301,821.8221,0.16859938837920488,0.011486647638464154,1.1169855249745158
124.6724,5.614719,828.6585,0.16944940536867142,0.007631286442405709,1.1262772680937818
125.4668,3.004413,834.8912,0.17052911994563372,0.004083469928644241,1.1347484879374787
126.4231,0.6736986,840.4433,0.1718288820931023,0.000915662385321101,1.1422946653075094
127.4887,-1.381047,845.3252,0.17327720013591572,-0.0018770601427115187,1.148929935440027
128.5705,-3.221308,849.6136,0.17474753652735306,-0.0043782643560992185,1.154758545701665
129.5561,-4.947136,853.4209,0.17608712198436968,-0.006723936119605845,1.1599332653754673
130.3408,-6.668801,856.8589,0.17715365273530412,-0.009063949711179069,1.1646060482500848
130.8485,-8.484555,860.0067,0.1778436969079171,-0.01153184505606524,1.1688844036697248
131.0441,-10.47127,862.8978,0.17810954808019025,-0.014232103295956507,1.172813863404689
130.941,-12.68341,865.5332,0.17796941896024465,-0.017238749575263338,1.1763957866123003
130.6026,-15.15171,867.9164,0.17750948012232415,-0.020593557594291538,1.1796349303431872
130.1342,-17.87777,870.0882,0.17687285083248386,-0.024298702004757054,1.182586748216106
129.6573,-20.82762,872.1421,0.17622466870540263,-0.028308012232415903,1.1853783214407068
129.2755,-23.93036,874.2112,0.1757057424396874,-0.03252512402310567,1.1881905538566089
129.0483,-27.08384,876.4336,0.17539694189602448,-0.03681119945633707,1.1912111450900442
128.9868,-30.16766,878.9054,0.17531335372069315,-0.0410025959904859,1.194570710159701
129.0704,-33.0658,881.6397,0.17542697927285084,-0.044941624193000344,1.1982870540265036
129.2705,-35.69644,884.5453,0.1756989466530751,-0.048517077811756716,1.2022362215426436
129.5683,-38.03713,887.4342,0.1761037037037037,-0.05169844376486578,1.2061626911314984
129.958,-40.1305,890.0572,0.1766333673122664,-0.05454366292898403,1.2097277607883112
130.4401,-42.0666,892.158,0.1772886170574244,-0.057175127420998985,1.2125830784913354
131.012,-43.9529,893.5299,0.1780659191301393,-0.05973890587835542,1.2144477064220183
131.6656,-45.88785,894.0608,0.17895426435609924,-0.06236880733944954,1.2151692830445124
132.3899,-47.9454,893.7549,0.17993870200475706,-0.06516534148827727,1.214753516819572
133.1754,-50.1681,892.7297,0.18100632008154943,-0.06818634046890928,1.2133601087325858
134.0125,-52.5636,891.1938,0.18214407067618074,-0.07144220183486238,1.2112725790010195
134.8859,-55.10215,889.4125,0.1833311586816174,-0.07489249065579341,1.2088515120625212
135.7674,-57.71726,887.6648,0.18452925586136595,-0.07844683656133197,1.2064761128100578
136.6138,-60.31573,886.1948,0.18567964661909617,-0.0819785660890248,1.2044781515460414
137.3731,-62.80078,885.1672,0.1867116547740401,-0.08535613999320421,1.2030814814814814
137.9992,-65.10275,884.6379,0.18756262317363234,-0.08848487937478763,1.2023620795107033
138.4667,-67.20317,884.5522,0.18819802922188245,-0.09133968059802922,1.2022455997281685
138.7763,-69.13791,884.7704,0.18861882432891605,-0.09396929663608564,1.2025421678559294
138.9472,-70.97627,885.1106,0.1888511043153245,-0.09646791709140333,1.2030045531770301
139.0024,-72.78671,885.3893,0.18892612979952428,-0.09892858987427795,1.2033833503228
138.9575,-74.60865,885.4472,0.18886510363574585,-0.10140489296636085,1.2034620455317702
138.8189,-76.44558,885.1574,0.1886767244308529,-0.10390156982670745,1.2030681617397214
138.5895,-78.28217,884.4261,0.18836493374108051,-0.10639778457356439,1.2020742099898063
138.2772,-80.11495,883.1949,0.18794046890927624,-0.10888882093102276,1.2004008154943935
137.899,-81.98071,881.4447,0.18742643560992184,-0.11142468229697587,1.1980220183486239
137.4792,-83.96927,879.1926,0.18685586136595309,-0.11412744818212707,1.1949610601427114
137.0429,-86.21225,876.4681,0.1862628610261638,-0.11717601087325857,1.1912580360176692
136.6076,-88.84661,873.2677,0.1856712198436969,-0.1207565205572545,1.1869081889228679
136.175,-91.96206,869.5033,0.18508324838600068,-0.12499090723751273,1.1817917770981992
135.7199,-95.55286,864.9686,0.1844646958885491,-0.12987136935100238,1.1756284063880396
135.1744,-99.49591,859.3419,0.1837232755691471,-0.13523059463132858,1.1679808358817534
134.4166,-103.5679,852.2241,0.18269330615018686,-0.14076506965681276,1.158306625891947
133.2822,-107.5013,843.2018,0.18115147808358817,-0.14611117906897725,1.1460439007815155
131.6107,-111.0602,831.9108,0.17887964661909617,-0.1509482840638804,1.1306976554536188
129.3122,-114.1043,818.0793,0.17575562351342167,-0.1550856948691811,1.1118984709480122
126.4138,-116.6132,801.5362,0.1718162419300034,-0.1584956846755012,1.089413795446823
123.0444,-118.6633,782.1855,0.16723669724770643,-0.1612820931022766,1.063113149847095
119.35,-120.3738,759.9614,0.1622154264356099,-0.16360693170234455,1.03290710159701
115.3811,-121.8432,734.784,0.15682106693849815,-0.16560407747196737,0.9986870540265036
111.0179,-123.0954,706.5355,0.15089079170914033,-0.16730601427115188,0.96029289840299
105.9872,-124.043,675.071,0.14405327896704043,-0.16859395174991507,0.9175276928304451
99.97666,-124.4739,640.258,0.13588400951410126,-0.1691796126401631,0.8702113489636426
92.79738,-124.0652,602.028,0.1261262385321101,-0.16862412504247368,0.8182507645259939
84.51889,-122.4334,560.4202,0.11487446822969759,-0.16640625212368332,0.7616992184845396
75.51645,-119.214,515.6118,0.10263873598369012,-0.16203058103975534,0.7007975535168196
66.41601,-114.1489,467.9436,0.09026980632008155,-0.1551463132857628,0.6360089704383283
57.97243,-107.143,417.958,0.07879365273530411,-0.1456241930003398,0.568070676180768
50.93386,-98.26141,366.4523,0.06922712878015631,-0.1335527149167516,0.49806632687733604
45.9221,-87.68107,314.5238,0.0624153584777438,-0.11917236833163439,0.42748732585796806
43.32399,-75.64412,263.5598,0.05888411824668706,-0.10281225959904859,0.3582192320761128
43.18639,-62.45403,215.1338,0.05869709819911655,-0.08488485219164119,0.2924006795786612
45.14447,-48.5165,170.8095,0.061358436969079166,-0.06594155623513422,0.23215698267074417
48.44832,-34.38427,131.897,0.06584888888888889,-0.046733632347944275,0.17926877336051647
52.13173,-20.7561,99.23447,0.07085522256201154,-0.028210805300713557,0.13487525654094462
55.28644,-8.408462,73.05885,0.07514296975874957,-0.011428422697927286,0.09929847094801224
57.32553,1.922832,53.00523,0.07791441386340468,0.0026134311926605505,0.07204244648318042
58.11152,9.672234,38.22828,0.07898269792728509,0.013146087665647298,0.051958246687054024
57.89849,14.54918,27.60344,0.07869315664288141,0.01977462453278967,0.03751741760108732
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
