time_s,axx_thigh,axy_thigh,axz_thigh,gxx_thigh,gxy_thigh,gxz_thigh,axx_shank,axy_shank,axz_shank,gxx_shank,gxy_shank,gxz_shank
15.0,4.89165735244751,-14.8747787475586,-2.4630651473999,-31.3425291577054,93.9381393157458,-13.6441626171622,-6.59987926483154,-9.68237781524658,6.52408790588379,-42.6327908746015,-40.804366309262,-24.0111116780932
15.005,4.39420461654663,-19.4060821533203,-4.02628326416016,-41.9394276361022,105.171505556856,-23.5210319447664,-6.09498929977417,-10.8098382949829,4.03343677520752,-50.5789509927243,-34.5361241230229,-47.9107239330805
15.01,3.14599871635437,-23.3591499328613,-4.38603687286377,-40.8483322369494,100.854703058003,-35.3443574829834,-6.82163381576538,-12.8181400299072,-1.3583562374115,-67.3692020482056,-46.0696771781548,-65.5675347489396
15.015,1.71664392948151,-24.2571716308594,-2.72009420394897,-21.363110516129,71.6575294884089,-45.7714779491812,-8.93279933929443,-14.7782411575317,-5.10246658325195,-86.1565799264311,-75.6868561552854,-70.4188405314813
15.02,0.684836804866791,-23.0066394805908,0.185261815786362,5.52186686138363,21.7889557354064,-54.1164323223735,-10.0554523468018,-16.4433879852295,-5.81916666030884,-98.0732656128657,-100.718659350114,-69.7044300650546
15.025,0.184037983417511,-19.9816627502441,3.87892770767212,35.7655786641927,-45.1483153949713,-59.295617920927,-9.34843635559082,-17.6115379333496,-3.99111199378967,-101.698852967714,-118.517264893143,-65.2425816689871
15.03,0.258367329835892,-16.0216083526611,7.04203701019287,61.5043098532124,-116.550607544286,-56.938212279843,-5.25937557220459,-17.5865821838379,-3.2504198551178,-99.2726809820658,-139.395172431012,-58.2788213195656
15.035,0.399923086166382,-13.4331817626953,8.42516136169434,77.8613971417207,-160.363115522521,-44.8204116732974,-2.07595205307007,-16.9441051483154,-3.68071436882019,-93.4245705618633,-141.528896206968,-58.1151153455387
15.04,0.663069069385529,-10.7146797180176,8.6871280670166,83.3088486652102,-171.29151381719,-28.127661568218,1.98415219783783,-15.3299293518066,-4.20117330551147,-86.6494463769392,-128.950747680552,-60.9686932486892
15.045,1.0927392244339,-7.50476026535034,7.90077447891235,75.834722920627,-145.999938037658,-9.39578922228254,7.13445425033569,-12.632306098938,-4.41926527023315,-79.906697288681,-103.215182284213,-64.8857247754214
15.05,1.8685085773468,-5.07488870620728,5.11731863021851,46.2727455323684,-80.5820254126768,4.20477160165245,9.96255302429199,-9.17414474487305,-4.14445543289185,-74.2421755231793,-69.3470062657878,-63.8838111562614
15.055,2.69838619232178,-3.45550417900085,1.18007802963257,4.71827205364318,-12.0149994293478,10.7349587996376,10.0746641159058,-6.76505327224731,-3.93101477622986,-70.307467466875,-35.9364256009968,-60.578552843298
15.06,3.32104897499084,-2.62470412254333,-3.14663505554199,-37.9740861813704,48.3617349843547,11.8031073245001,8.5346097946167,-5.79860067367554,-3.73693943023682,-66.7452027958224,-3.8724175848474,-57.0517880804565
15.065,3.59626913070679,-2.63082218170166,-7.38900804519653,-75.0762645642429,93.7686276809244,7.96006638327294,5.84392023086548,-6.50943517684937,-3.54248952865601,-62.8076192298776,25.9255419854615,-54.3954489650631
15.07,3.68973469734192,-3.76336336135864,-9.88989543914795,-87.4639805864091,118.088383654779,-0.696045902017488,2.57597756385803,-7.93967914581299,-3.37203216552734,-57.5576762866173,46.6988571290234,-52.7083990702591
15.075,3.90823078155518,-4.94599962234497,-11.2819023132324,-91.0629985053856,130.468934808506,-7.20409165442582,-0.474563121795654,-8.83070850372314,-3.17790818214417,-52.7186716747708,59.6745226651335,-50.7608969869297
15.08,3.85636210441589,-6.02543354034424,-11.8249263763428,-89.6549959891225,135.172640203084,-13.7520958277477,-3.09714245796204,-9.26586818695068,-3.12086486816406,-48.9001997777619,65.2185257427303,-48.9445072149077
15.085,3.20287394523621,-6.87333536148071,-11.6738443374634,-85.9433414205433,135.122001180577,-22.0839925867943,-5.09797096252441,-9.2835865020752,-3.33723711967468,-46.6499393141878,63.1671535575979,-47.578923588485
15.09,1.15188694000244,-7.49655723571777,-10.5561285018921,-80.3293289039539,119.96704084637,-26.1038440737446,-6.42390727996826,-9.02069282531738,-3.48203611373901,-45.9033552416758,52.3615415736384,-47.5098498854086
15.095,-1.38958239555359,-8.29145812988281,-9.09031009674072,-71.4946772880283,98.2033943769328,-28.2361010665757,-7.21359729766846,-8.83727550506592,-3.54247999191284,-46.3742762943807,36.7207259781056,-47.4407761823323
15.1,-4.06274652481079,-9.07015132904053,-7.41825151443481,-58.5241685447416,71.0205665369811,-28.8904775852925,-7.27044820785522,-8.80593872070313,-3.49572253227234,-47.4378187104217,20.4416599404864,-47.3055418518606
15.105,-6.42695140838623,-9.59532928466797,-5.7023286819458,-39.9497354742696,39.4962040831915,-28.4680542907893,-6.29108572006226,-9.02960205078125,-3.30481386184692,-48.3544676630778,8.74833253896859,-47.0159384159575
15.11,-7.73521375656128,-9.67431545257568,-4.41677522659302,-21.5020314412052,3.42727558706086,-26.8290718522693,-4.20336246490479,-9.36227703094482,-3.23540830612183,-49.2912656737855,-7.41934506611877,-46.2467908135224
15.115,-8.12714958190918,-9.62891674041748,-3.47181582450867,-7.95605791600379,-29.4799365710429,-24.3672155433028,-2.5776355266571,-9.57664108276367,-3.21846508979797,-49.6138213573394,-19.185716218168,-44.8880681121209
15.12,-7.63760948181152,-9.52110195159912,-2.83584547042847,-0.36162012341852,-56.1164380698529,-21.4918032329231,-1.247598528862,-9.70110416412354,-3.15039706230164,-49.1030803017733,-25.4656465656243,-42.9943913345457
15.125,-6.2251410484314,-9.4278392791748,-2.49095678329468,-0.831663630217175,-70.742598328329,-18.8934182726373,0.236031845211983,-9.80396270751953,-2.83681869506836,-47.3230442116088,-24.5598559062012,-40.6245137680372
15.13,-4.82087564468384,-9.34715557098389,-2.32877016067505,-5.83547243580383,-70.598932129327,-17.7200754430464,1.08428514003754,-9.92090797424316,-2.56753897666931,-45.2846869519398,-19.7348326915857,-39.2683967838041
15.135,-3.89844727516174,-9.3047046661377,-2.25711536407471,-10.7629728205184,-66.9697725855432,-17.2764512413595,1.38685882091522,-10.0922002792358,-2.36687207221985,-43.2337314083467,-14.2376121409353,-38.6167455105661
15.14,-3.15132141113281,-9.292893409729,-2.1863009929657,-14.967227462228,-60.4223600773582,-17.5458134116573,1.13702595233917,-10.2897806167603,-2.25862336158752,-41.1332330876089,-8.61041992056863,-38.4976782378599
15.145,-1.53146719932556,-9.2830867767334,-1.88899958133698,-18.1768767871896,-48.2381939377421,-18.7971433411914,0.23238106071949,-10.4197759628296,-2.31160593032837,-38.7818755790349,-3.23808233525927,-38.5720658281105
15.15,-0.455994039773941,-9.16617202758789,-1.56597399711609,-23.4028799174089,-37.3772301007489,-20.4120749760965,-0.992901206016541,-10.4350252151489,-2.50025963783264,-37.1057608170921,-0.205401770949708,-38.422897911732
15.155,0.244671672582626,-9.07363891601563,-1.22025179862976,-30.1087032954668,-27.4324285654334,-21.8507826077734,-2.19813132286072,-10.3233060836792,-2.60604572296143,-35.425271318986,1.83518837360851,-37.8968674777089
15.16,0.631758272647858,-9.04617118835449,-0.879562795162201,-37.9767499551468,-19.1773424062455,-22.8474506416508,-3.26281476020813,-10.0797996520996,-2.59757113456726,-33.6798301369675,2.99967074029856,-37.0744614752206
15.165,0.821424663066864,-9.14213562011719,-0.670285165309906,-46.0614672907724,-16.628959553326,-22.7014194896486,-3.96533489227295,-9.69424438476563,-2.54687309265137,-32.2663634693684,2.48172853091321,-36.484616583782
15.17,0.97269594669342,-9.35477447509766,-0.560653567314148,-52.743646261471,-16.6632300274866,-20.6340236807233,-4.40480756759644,-9.30616760253906,-2.45411396026611,-31.6966505605085,-0.6589779317833,-36.3156001376755
15.175,1.26212954521179,-9.5704870223999,-0.535646259784698,-57.086997705628,-17.1794967060912,-18.4006064636425,-4.69860887527466,-8.96628284454346,-2.29009914398193,-31.4694272422951,-4.38614684817532,-36.5674121369009
15.18,1.74159586429596,-9.74673271179199,-0.603358387947083,-58.7293201066521,-17.9608891301608,-16.4132194906547,-4.86689233779907,-8.7021951675415,-2.03323435783386,-31.4130884269262,-7.7941346213503,-37.1935697290618
15.185,2.30598258972168,-9.85482025146484,-0.848705470561981,-57.9325170682676,-22.9287452606996,-13.182585263242,-4.78450918197632,-8.58324718475342,-1.60886573791504,-31.4476150331807,-9.09100483717542,-37.7170081062949
15.19,2.61250877380371,-9.8718376159668,-1.18262195587158,-53.8719730217896,-24.2170196834542,-9.9797789340551,-4.61980247497559,-8.54239273071289,-1.36708235740662,-31.2510353586785,-8.57651400775504,-38.3400306416268
15.195,2.73301267623901,-9.87376308441162,-1.47973155975342,-48.2832936768317,-22.8991876170664,-7.24526574228995,-4.34102821350098,-8.55335903167725,-1.19785499572754,-30.8966373332141,-7.01074052496698,-39.0366484652656
15.2,2.68343687057495,-9.89628028869629,-1.66535925865173,-42.0744024193854,-19.3982717051388,-5.29239939914106,-3.93563199043274,-8.60665130615234,-1.04080772399902,-30.4040714110294,-4.75618942193369,-39.7784514053586
15.205,2.25431275367737,-9.87500476837158,-1.62324178218842,-36.627797839353,-13.7368260860845,-5.10885812887765,-3.59324169158936,-8.72911357879639,-0.781899452209473,-29.5884682769544,-2.16847385746162,-40.2274987772465
15.21,1.89771568775177,-9.7939977645874,-1.19733047485352,-31.9602992775656,-6.44604823203383,-6.00589846220034,-3.47866106033325,-8.79200649261475,-0.690470993518829,-29.3846042057025,0.60901259004457,-40.6188754468774
15.215,1.65274930000305,-9.71330738067627,-0.577196300029755,-28.2590539172815,2.9367360966256,-7.48325514618258,-3.48290610313416,-8.82498168945313,-0.73085218667984,-29.4160094155062,4.03681596930137,-40.9836690202586
15.22,1.55737125873566,-9.68074798583984,0.0981685519218445,-25.7321759149638,14.9078594579623,-9.17828611703172,-3.52650904655457,-8.84980964660645,-0.882722437381744,-29.3974381311529,8.52130815001477,-41.344996272636
15.225,1.52439951896667,-9.77524471282959,0.509661257266998,-24.2255847406734,25.1824310641424,-10.1375503274669,-3.21276664733887,-8.97790050506592,-1.08426856994629,-28.1170235485857,12.8600748296914,-41.9055669732919
15.23,1.37238216400146,-9.88182163238525,0.651962339878082,-22.6845847808918,34.1529334351122,-10.9792925954955,-2.82101964950562,-9.10681438446045,-1.20106935501099,-27.5841134065211,15.7949610122689,-42.6647151787821
15.235,1.16469848155975,-9.96405220031738,0.60786247253418,-21.0469325217127,41.0975555944794,-11.5991715362619,-2.46699070930481,-9.21502113342285,-1.31096959114075,-27.3629313906285,17.9610632999847,-43.3865773815933
15.24,0.976696372032166,-9.97429656982422,0.467042118310928,-19.2269825135859,44.9535730413559,-11.8490241249692,-2.29897570610046,-9.2738733291626,-1.51124310493469,-26.9299469161212,20.097186179886,-43.7719332394708
15.245,0.456576853990555,-9.8733434677124,0.0446071065962315,-18.2473831224443,46.7266696593237,-11.5032082321968,-2.25507950782776,-9.2794017791748,-1.82231760025024,-26.7391336288259,21.6579168486324,-43.9401437232553
15.25,-0.0983531773090363,-9.67002296447754,-0.488696396350861,-18.3895364345452,48.3549082102793,-10.9139823266518,-2.22148156166077,-9.33468532562256,-2.02309226989746,-26.5148831504487,22.6830753090853,-44.2754172190437
15.255,-0.644648194313049,-9.44516754150391,-1.06037437915802,-19.3457526730632,49.9450479660446,-10.1740773253745,-2.20817732810974,-9.42814445495605,-2.12625074386597,-26.285737133984,23.1667910136529,-44.6506746422334
15.26,-1.13037693500519,-9.34873867034912,-1.55508267879486,-20.5891151869305,51.4913344922437,-9.40625563341194,-2.24822211265564,-9.53100299835205,-2.16882371902466,-26.1342742740443,23.0367476269504,-44.7889005955615
15.265,-1.42085516452789,-9.34002017974854,-1.90034162998199,-21.7799586687222,51.1992004712531,-8.99701289645958,-2.24622869491577,-9.64513111114502,-2.19655561447144,-25.9971753019293,21.7805255744233,-45.2426300621254
15.27,-1.60218214988708,-9.36010265350342,-2.15600061416626,-22.7180288021628,49.4358880992714,-8.78837964561967,-2.22510099411011,-9.73905563354492,-2.18408823013306,-25.7301900374626,19.8979410240602,-45.760682835198
15.275,-1.68654096126556,-9.37767028808594,-2.32702565193176,-23.3467289322423,46.7729646815181,-8.74157492055851,-2.19664430618286,-9.81371402740479,-2.15451073646545,-25.3014249123151,17.7204937921331,-46.2150201885981
15.28,-1.66924870014191,-9.3228178024292,-2.39840745925903,-23.5461072767568,44.6578600012402,-8.81594116646796,-2.18620634078979,-9.88152408599854,-2.18265914916992,-24.655855922533,16.0039852914388,-46.3187400262393
15.285,-1.64749991893768,-9.29454040527344,-2.42277836799622,-24.3007851234353,40.6193979563489,-9.34414274687349,-2.17063236236572,-9.84259700775146,-2.23600172996521,-24.3895536769834,15.482025650161,-45.8646895407844
15.29,-1.61151111125946,-9.28796005249023,-2.41423392295837,-25.2013814239946,36.2610303413016,-10.1065762733545,-2.14257335662842,-9.79680919647217,-2.24654746055603,-24.3814889311209,14.7805720525899,-45.4714960408342
15.295,-1.54789435863495,-9.30082702636719,-2.367520570755,-26.1857568249133,32.0728232290469,-11.0996567503704,-2.08325505256653,-9.77883148193359,-2.23935127258301,-24.4515957003092,13.8190726627489,-45.3053380288953
15.3,-1.40395534038544,-9.32753086090088,-2.24402666091919,-27.3732979102413,28.7382702347334,-12.5262527491016,-1.91241085529327,-9.85057830810547,-2.39932608604431,-23.8805765177705,13.5956520523559,-45.5230947049191
15.305,-1.19024109840393,-9.34806251525879,-2.08646965026855,-28.6182911317729,26.2070926283331,-14.0996056074342,-1.66277134418488,-9.90048980712891,-2.32389760017395,-22.7143831886933,14.4349200843577,-45.7197017001779
15.31,-0.978504657745361,-9.32424831390381,-1.91570150852203,-29.7903857442929,24.5390716405568,-15.627174000213,-1.46034812927246,-9.87209987640381,-2.24485945701599,-21.4148628594702,15.7192978841908,-45.8882980896505
15.315,-0.787148535251617,-9.25062084197998,-1.74568033218384,-30.7814496079564,23.7703594626813,-17.0114433166576,-1.35529613494873,-9.75415229797363,-2.22460389137268,-20.1398185131379,17.2620497874945,-45.9927282669654
15.32,-0.565576553344727,-9.19949054718018,-1.63403367996216,-31.1031583480532,23.8099984655294,-18.0132254546761,-1.39051699638367,-9.63146209716797,-2.12573790550232,-18.9149623968268,19.1563310368113,-45.7696542886728
