epoch,train_loss,train_rmse_mean,train_rmse_Fx,train_rmse_Fy,train_rmse_Fz,val_rmse_mean,val_rmse_Fx,val_rmse_Fy,val_rmse_Fz
1,490322.51798349054,693.8203472437114,,,693.8203472437114,724.2082681571625,,,724.2082681571625
2,361426.8352004717,590.9266873264743,,,590.9266873264743,404.88309015945305,,,404.88309015945305
3,222244.1540389151,465.09165201233674,,,465.09165201233674,352.8653362993848,,,352.8653362993848
4,201905.52225825473,443.6510342082346,,,443.6510342082346,363.178586405299,,,363.178586405299
5,189486.88664504717,430.1615206179986,,,430.1615206179986,327.0496058571629,,,327.0496058571629
