epoch,train_loss,train_rmse_mean,train_rmse_Fx,train_rmse_Fy,train_rmse_Fz,val_rmse_mean,val_rmse_Fx,val_rmse_Fy,val_rmse_Fz
1,488385.24646226416,693.5301482911012,,,693.5301482911012,718.1521226138054,,,718.1521226138054
2,336928.9345518868,571.3422316487193,,,571.3422316487193,389.5311866352266,,,389.5311866352266
3,216677.663620283,460.0425238278533,,,460.0425238278533,356.0234829077962,,,356.0234829077962
4,200886.453567217,440.0813728230454,,,440.0813728230454,347.7549870076228,,,347.7549870076228
5,189930.28626179244,429.3996857977321,,,429.3996857977321,347.8169011549325,,,347.8169011549325
