checkpoint,config,device,effective_config,eval_wall_s,label,mae_mean,nrmse_mean,pred_npz,rmse_mean,run_dir,train_wall_s
best,analysis\benchmarks\effective_configs\vnext_example__epochs1.yaml,cpu,analysis\fz_baselines\small\20251212-192000\effective_config.yaml,15.97176459999173,small,557.9399667181178,1.1791662190904562,analysis\fz_baselines\small\20251212-192000\fz_windows_pred_truth_leaderboard_small_20251212-192000.npz,751.1490333388517,data\vnext_gt_real_out\vnext_fz\20251212-192009_adec0d0e,54.75777839998773
best,analysis\benchmarks\effective_configs\vnext_example__epochs1.yaml,cpu,analysis\fz_baselines\deep\20251212-192000\effective_config.yaml,14.929893399996217,deep,557.9399667181178,1.1791662190904562,analysis\fz_baselines\deep\20251212-192000\fz_windows_pred_truth_leaderboard_deep_20251212-192000.npz,751.1490333388517,data\vnext_gt_real_out\vnext_fz\20251212-192120_38d148f0,52.49761419999413
best,analysis\benchmarks\effective_configs\vnext_example__epochs1.yaml,cpu,analysis\fz_baselines\long\20251212-192000\effective_config.yaml,15.072038400001475,long,557.9399667181178,1.1791662190904562,analysis\fz_baselines\long\20251212-192000\fz_windows_pred_truth_leaderboard_long_20251212-192000.npz,751.1490333388517,data\vnext_gt_real_out\vnext_fz\20251212-192227_3ee6b9f8,50.49159920000238
