trial_id,start_idx,rmse,mae,pearson_r,bias,stderr,nrmse,nrmse_bw,y_true_median_abs,y_pred_median_abs
gt_small_016,0,238.25363421242042,204.6670694500208,0.829303782344445,-41.647180542349815,234.5853929133243,0.4016256347179854,0.3238241715425354,593.2231750488281,388.36993408203125
gt_small_016,128,237.60911260929348,203.9876742362976,0.8244613815393669,-18.648142099380493,236.8762064691539,0.658423053350201,0.3229481652861617,360.8760528564453,338.90721130371094
gt_small_016,256,246.81491541100053,214.48187294602394,0.8263122993718109,-60.804408878088,239.2079144391457,0.3804429638132755,0.3354602995732253,648.7566833496094,425.6167755126953
gt_small_016,384,248.33539896498826,220.71847467124462,0.8537218907838464,-29.0855760127306,246.6262347097477,0.9244020976839581,0.33752687592930786,268.64434814453125,340.97731018066406
gt_small_016,512,235.915531138804,213.96513225138187,0.9011097791745382,-81.85319016873837,221.2604643665568,0.3763706000777622,0.32064632162936324,626.8171081542969,426.80584716796875
gt_small_016,640,238.16757124434383,214.91935899853706,0.8957507137671215,-46.77439531683922,233.52932992490184,0.7835178485259476,0.3237071984292815,303.97210693359375,309.5911102294922
gt_small_016,768,233.38506554832318,202.21435099840164,0.8670788035696289,-52.25414162874222,227.4600921120856,0.4134184364455711,0.317207020792828,564.5250549316406,358.9707489013672
gt_small_016,896,238.00847156387218,210.4664341956377,0.8562208440577891,-34.93629793822765,235.43043053637297,0.4330749839097757,0.32349095693356733,549.5779724121094,360.1288299560547
gt_small_016,1024,205.7333854179737,177.07491391897202,0.882899716543468,14.331908404827118,205.23357979876528,1.0390763999940316,0.2796240372653397,197.99639892578125,269.8345031738281
gt_small_016,1152,228.9772369417288,192.68442596495152,0.8215395260989993,-25.661361202597618,227.53476564845735,0.40214379290391844,0.3112160882660262,569.3914489746094,381.66322326660156
gt_small_016,1280,215.54754339573617,186.9154116511345,0.8623855806211098,-5.069687187671661,215.4879155213951,0.5557189435208569,0.29296302194459556,387.8715057373047,352.68695068359375
gt_small_016,1408,240.2420309727539,206.0189825296402,0.838637509490132,-60.806904792785645,232.41934896956138,0.3844653816263451,0.3265267155592985,624.8729858398438,399.58946228027344
gt_small_016,1536,237.8871580141233,202.80037808418274,0.8372184201857614,-29.511222004890442,236.0495450616555,0.7819368660990407,0.3233260727341125,304.22808837890625,314.12109375
gt_small_016,1664,259.2367907400983,218.91664592921734,0.8126309395688236,-94.12376530468464,241.54591794955707,0.3727463619226628,0.3523435823854547,695.4777221679688,399.541748046875
gt_small_016,1792,265.10239771488773,226.16332902014256,0.8074107438178753,-57.996543511748314,258.6806568239543,0.8615969386376985,0.3603158650559126,307.687255859375,310.2100067138672
gt_small_016,1920,233.84185312562767,199.27257710695267,0.8632389444559262,-81.5010302066803,219.1793656995964,0.3542888500591376,0.31782786697333015,660.0316467285156,400.1437530517578
gt_small_016,2048,230.9681877150179,198.85719221830368,0.8847576014041004,-49.39469254016876,225.62461764005704,0.5955527448773119,0.31392210358819966,387.82154846191406,345.90614318847656
gt_small_016,2176,255.98571341657572,228.6753635108471,0.8976409355395205,-94.21294644474983,238.0180795561378,0.3905075590493819,0.3479248568353051,655.5205078125,406.11708068847656
gt_small_016,2304,260.94402774668976,235.5006742477417,0.8911596792763564,-73.7699602842331,250.29937789840366,0.5221034263329662,0.3546639860641383,499.7937469482422,371.1745147705078
gt_small_016,2432,222.56491179581835,196.8177101612091,0.8889254246277217,-34.96572172641754,219.8011334521074,0.4949386601768343,0.30250072958996715,449.6818084716797,363.0687255859375
gt_small_016,2560,227.2455814946453,204.41457399725914,0.8713985150966481,-46.22693279385567,222.4941010303685,0.40542657894983297,0.3088624960851448,560.5098266601562,371.21665954589844
gt_small_016,2688,229.4369362540636,201.06527757644653,0.8646196079243791,-29.694000124931335,227.50730554035366,0.7159101863832102,0.3118408919525159,320.48284912109375,310.1393127441406
gt_small_016,2816,243.78073860724783,207.39683996140957,0.8580341953739706,-92.1441560536623,225.69559814283843,0.372863175206984,0.3313363759527663,653.8074951171875,390.58026123046875
