epoch,train_loss,train_rmse_mean,train_rmse_Fx,train_rmse_Fy,train_rmse_Fz,val_rmse_mean,val_rmse_Fx,val_rmse_Fy,val_rmse_Fz
1,489513.539504717,691.3028342734011,,,691.3028342734011,720.3769333993347,,,720.3769333993347
2,343954.35053066036,574.7637314006037,,,574.7637314006037,377.060507580609,,,377.060507580609
3,215671.13487617925,458.9589944743975,,,458.9589944743975,361.3854464935153,,,361.3854464935153
4,200871.273879717,443.8612895572468,,,443.8612895572468,339.9148017403845,,,339.9148017403845
5,185958.25007370283,424.3536724573079,,,424.3536724573079,326.4267559422347,,,326.4267559422347
