epoch,train_loss,train_rmse_mean,train_rmse_Fx,train_rmse_Fy,train_rmse_Fz,val_rmse_mean,val_rmse_Fx,val_rmse_Fy,val_rmse_Fz
1,490301.4646226415,693.6790708012871,,,693.6790708012871,723.3600326110283,,,723.3600326110283
2,351234.5852004717,582.1656479118426,,,582.1656479118426,387.94131180697144,,,387.94131180697144
3,223673.16745283018,467.34247146538934,,,467.34247146538934,351.9018121996088,,,351.9018121996088
4,206569.86600825473,446.32358181997375,,,446.32358181997375,347.7157151070704,,,347.7157151070704
5,194386.19354363208,435.1853519471711,,,435.1853519471711,340.8969744873443,,,340.8969744873443
