Fx_N,Fy_N,Fz_N,Fx_BW,Fy_BW,Fz_BW
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
-1.977143,-42.99434,62.62009,-0.00268724838600068,-0.05843607203533809,0.0851105538566089
-1.931131,-43.72778,75.0878,-0.0026247108392796464,-0.05943293238192321,0.1020561331974176
-2.238131,-39.38498,83.8018,-0.00304197213727489,-0.053530383961943595,0.11389983010533469
-3.144906,-30.94429,88.69411,-0.004274422018348624,-0.042058158341828064,0.12054924906557933
-4.802173,-20.24225,90.76672,-0.006526908596670065,-0.027512402310567445,0.12336625212368332
-7.232538,-9.380085,91.76859,-0.009830156982670745,-0.01274901121304791,0.12472795107033639
-10.32945,-0.1140859,93.69205,-0.014039347604485218,-0.00015506068637444786,0.12734223581379545
-13.87223,6.560168,98.26061,-0.018854542983350323,0.008916300373768263,0.13355162759089365
-17.5543,10.52411,106.552,-0.023859055385660893,0.014303921168875298,0.1448209310227659
-21.03267,12.37033,118.833,-0.02858670744138634,0.016813224600747537,0.16151274209989805
-23.99781,13.06162,134.6057,-0.03261679918450561,0.017752796466190962,0.1829503227998641
-26.24047,13.55647,152.8109,-0.03566492694529391,0.018425375467210327,0.20769405368671423
-27.67689,14.52373,172.1034,-0.03761724770642202,0.019740033978933064,0.23391559633027523
-28.30795,16.21428,191.1318,-0.038474957526333675,0.02203775739041794,0.2597781855249745
-28.12731,18.49361,208.7756,-0.038229439347604484,0.025135725450220865,0.2837588854909956
-27.03554,20.98981,224.3155,-0.03674555215766225,0.0285284539585457,0.3048800543662929
-24.82652,23.28926,237.5165,-0.03374314644920149,0.03165376826367652,0.32282229018008834
-21.27517,25.11076,248.6074,-0.028916303092082908,0.03412947332653755,0.3378965681277608
-16.29235,26.40478,258.1576,-0.022143866802582398,0.03588825008494733,0.350876792388719
-10.06577,27.35375,266.8779,-0.013680965001698948,0.03717804960924227,0.3627290519877676
-3.107517,28.28156,275.3992,-0.004223604485219164,0.03843908936459395,0.37431083927964665
3.824819,29.50979,284.0944,0.005198530750934421,0.04010844716275909,0.3861289840299015
9.907418,31.21976,293.0049,0.013465739721372749,0.04243256540944614,0.398239755351682
14.46514,33.38212,301.8963,0.019660400951410126,0.04537155283724091,0.41032456676860346
17.15033,35.78864,310.4226,0.023309996602106694,0.048642392116887534,0.42191314984709477
18.03231,38.17071,318.3347,0.02450874617737003,0.05188,0.43266693849813115
17.57437,40.34226,325.6456,0.02388633367312266,0.05483147808358818,0.4426036017669045
16.50557,42.29043,332.6866,0.022433666326877336,0.05747934760448522,0.4521734284743459
15.62277,44.16686,340.0316,0.02123380224260958,0.060029711179068974,0.46215643900781517
15.58013,46.19057,348.3241,0.021175847774379884,0.06278025144410465,0.4734272511043153
16.72984,48.52121,358.0743,0.022738484539585456,0.06594795786612301,0.4866793068297655
19.06071,51.17176,369.5045,0.02590650356778797,0.06955047230716956,0.5022147468569487
22.24513,54.00035,382.4932,0.030234631328576282,0.0733949711179069,0.5198684335711858
25.76622,56.77595,396.6296,0.035020346585117226,0.07716744818212708,0.5390820251444104
29.07456,59.27677,411.3512,0.03951690112130479,0.08056645599728168,0.5590909955827387
31.72487,61.37252,426.1095,0.04311908936459395,0.08341490995582738,0.5791498470948012
33.46083,63.05779,440.5059,0.04547853211009174,0.08570545701664967,0.5987168195718654
34.23773,64.43133,454.3605,0.046534461433910976,0.08757231396534149,0.6175474006116208
34.19053,65.63679,467.7013,0.046470309208290865,0.08921072375127422,0.6356796466190962
33.56546,66.79234,480.6918,0.045620740740740746,0.09078129799524294,0.6533357798165138
32.63928,67.93805,493.5291,0.044361916411824666,0.09233849813115869,0.6707836901121306
31.65126,69.02198,506.3492,0.043019041794087665,0.09381172952769283,0.6882082229018008
30.76649,69.92782,519.1745,0.04181650016989467,0.09504290859667006,0.705639823309548
30.07465,70.52941,531.9161,0.04087618076792388,0.09586056405028882,0.7229576622494054
29.61211,70.74695,544.4233,0.04024751613999321,0.09615623513421678,0.7399569147128781
29.38752,70.58176,556.5532,0.039942262996941896,0.09593171593611961,0.7564433571185865
29.39775,70.11827,568.2307,0.039956167176350664,0.09530176010873258,0.7723149167516139
29.63562,69.49856,579.4766,0.04027946992864424,0.09445947672443085,0.7875998640842677
30.09828,68.88522,590.3977,0.04090829765545362,0.09362585117227319,0.8024433571185865
30.80002,68.42685,601.149,0.04186207271491675,0.09300285423037717,0.8170560652395514
31.78094,68.2324,611.8813,0.04319529731566429,0.0927385660890248,0.8316429493713897
33.09874,68.35504,622.6901,0.04498639483520218,0.09290525314305131,0.8463338090383963
34.80159,68.78634,633.5805,0.04730083588175331,0.09349145769622834,0.8611355759429155
36.89642,69.46133,644.4573,0.05014803941556235,0.09440887529731568,0.8759188583078492
39.33267,70.27316,655.1464,0.05345928644240571,0.09551227998640843,0.8904470268433571
42.00975,71.0954,665.4404,0.05709785932721712,0.096629833503228,0.9044381923207611
44.79785,71.8088,675.1598,0.06088732585796806,0.09759945633707102,0.9176483860006796
47.55472,72.32488,684.2083,0.06463434590553857,0.0983008902480462,0.9299467210329596
50.12998,72.59679,692.6074,0.0681345293917771,0.09867045871559633,0.941362419300034
52.36594,72.61329,700.4993,0.07117355079850493,0.09869288481141693,0.9520887529731565
54.1116,72.38192,708.1179,0.07354617737003058,0.09837841658171932,0.9624436289500509
55.2562,71.91098,715.7381,0.07510186884131838,0.09773833503227998,0.9728006795786612
55.76862,71.19905,723.6121,0.07579832823649338,0.09677071015970098,0.983502684335712
55.71751,70.23828,731.9052,0.07572886170574243,0.09546487257900102,0.9947743119266056
55.25521,69.03131,740.6427,0.07510052327556914,0.09382441046551139,1.0066499490316003
54.57105,67.61312,749.6817,0.07417064220183486,0.09189686714237172,1.018935372069317
53.83822,66.06475,758.7237,0.07317461094121644,0.08979238871899423,1.031224872579001
53.17907,64.50986,767.366,0.0722787223921169,0.08767904858987428,1.0429711179068977
52.6581,63.09146,775.18,0.07157064220183486,0.08575121984369691,1.0535915732246006
52.2937,61.93504,781.7898,0.07107536527353041,0.08417946313285762,1.0625753312945974
52.07477,61.11243,786.9316,0.07077780496092423,0.08306140672782875,1.0695638464152226
51.97464,60.62342,790.4818,0.0706417125382263,0.08239676520557256,1.0743891267414203
51.96227,60.40309,792.4554,0.07062489976214746,0.08209730207271491,1.0770715596330276
52.01138,60.34839,792.9772,0.07069164797825349,0.08202295616717635,1.0777807679238873
52.10424,60.34915,792.236,0.07081785932721713,0.08202398912674143,1.0767733605164798
52.2268,60.31069,790.4329,0.07098443764865783,0.08197171593611961,1.074322663948352
52.35707,60.1628,787.7393,0.0711614950730547,0.08177071015970098,1.0706616377845735
52.45559,59.85857,784.2804,0.07129539925246348,0.08135721372748896,1.0659604485219163
52.46614,59.3709,780.1498,0.07130973836221544,0.08069439347604485,1.060346313285763
52.32844,58.69096,775.4405,0.07112258239891267,0.07977024804621134,1.0539456337071016
51.99634,57.82624,770.2747,0.07067120625212368,0.07859495752633368,1.0469244988107373
51.45197,56.79525,764.8163,0.0699313217804961,0.07719367991845057,1.0395056744818212
50.70926,55.62072,759.2655,0.06892186204553177,0.07559730886850152,1.0319612640163098
49.80598,54.32354,753.8389,0.06769416241930003,0.07383423717295277,1.024585660890248
48.78922,52.918,748.7432,0.06631222562011553,0.07192388718994223,1.0176598029221882
47.70237,51.41072,744.1503,0.0648350254841998,0.0698752565409446,1.0114173292558615
46.58012,49.80545,740.1794,0.06330971117906897,0.06769344206591912,1.0060202514441046
45.4519,48.1118,736.8883,0.06177628270472307,0.06539150526673462,1.0015471287801563
44.34819,46.35252,734.2798,0.06027616717635067,0.06300036697247706,0.9980017669045192
43.30212,44.5671,732.3179,0.058854393476044854,0.0605737003058104,0.9953352361535848
42.34425,42.81157,730.9475,0.057552497451580024,0.058187658851512065,0.9934726469588855
41.49504,41.15104,730.1068,0.05639828746177371,0.05593073734284744,0.9923300033978933
40.76178,39.64361,729.7298,0.055401671763506626,0.053881902820251446,0.9918176010873258
40.14256,38.32134,729.7428,0.0545600543662929,0.05208472986748216,0.9918352701325178
39.63336,37.17856,730.0626,0.053867971457696236,0.05053151206252123,0.9922699286442406
39.23133,36.173,730.6017,0.0533215494393476,0.049164797825348286,0.9930026503567788
38.93089,35.23793,731.2786,0.052913204213387695,0.04789389058783554,0.993922663948352
38.71566,34.29917,732.0293,0.05262067278287462,0.046617968059802915,0.9949429833503228
38.55378,33.29015,732.8159,0.05240065239551479,0.045246551138294254,0.99601209650017
38.40245,32.16266,733.6324,0.0521949711179069,0.04371411484879375,0.9971218484539585
38.22179,30.89511,734.5091,0.05194942575603126,0.041991314984709475,0.9983134216785593
37.99096,29.49925,735.5132,0.051635691471287805,0.04009412164458036,0.9996781515460414
37.71733,28.02077,736.7382,0.05126378525314305,0.038084634726469585,1.0013431192660551
37.43251,26.52835,738.2828,0.050876670064559974,0.036056201155283726,1.0034424736663268
37.17662,25.09166,740.2231,0.050528875297315666,0.03410351342167856,1.0060796466190962
36.97999,23.75701,742.589,0.05026162419300034,0.03228951410125722,1.0092952769283046
36.85361,22.53216,745.3568,0.05008985389058784,0.030624750254842,1.0130571525654095
36.79383,21.3877,748.4568,0.05000860346585117,0.02906924906557934,1.0172705402650357
36.79581,20.27409,751.7906,0.05001129459734965,0.02755567787971458,1.0218016989466532
36.86348,19.14534,755.2452,0.05010326877336052,0.02602152905198777,1.0264970438328236
37.00708,17.97963,758.7004,0.05029844376486579,0.024437145769622835,1.0311932042133876
37.23098,16.79116,762.0311,0.050602759089364596,0.02282182806659871,1.0357201495073056
37.52275,15.62976,765.1083,0.05099932042133877,0.021243302752293577,1.0399025484199795
37.85284,14.56478,767.8025,0.051447964661909616,0.01979582738702005,1.0435643900781515
38.18512,13.65553,769.9894,0.051899585457016645,0.018560013591573225,1.0465367312266396
38.4908,12.92112,771.5605,0.05231505266734625,0.01756183486238532,1.0486721032959565
38.75683,12.32652,772.4409,0.0526766292898403,0.016753679918450563,1.0498687054026505
38.98317,11.79326,772.6113,0.052984260958205916,0.0160288956846755,1.0501003058103975
39.16975,11.22901,772.127,0.05323785253143051,0.015261991165477405,1.0494420659191301
39.3006,10.56044,771.1197,0.053415698267074416,0.014353299354400271,1.0480729867482161
39.3378,9.752483,769.7753,0.05346625891946993,0.013255158681617397,1.0462457356439008
39.23403,8.806523,768.2945,0.05332521916411824,0.011969450220863065,1.044233095480802
38.96046,7.743929,766.85,0.052953394495412844,0.010525217804960924,1.0422697927285083
38.53353,6.588526,765.5556,0.05237312945973496,0.008954843357118587,1.040510499490316
38.02072,5.357714,764.4521,0.05167613999320421,0.0072819762147468565,1.0390106693849812
37.51666,4.063554,763.5116,0.05099104315324499,0.005523009174311927,1.0377323819232076
37.10147,2.718879,762.6543,0.05042673462453279,0.0036953843017329254,1.0365671763506625
36.80638,1.341949,761.7721,0.05002566089024804,0.001823919809717975,1.0353681277607882
36.60788,-0.04448904,760.7543,0.04975586816173972,-6.0467604485219166e-05,1.0339847774379884
36.4528,-1.419925,759.5091,0.04954509004417262,-0.0019299014610941218,1.032292354740061
36.29594,-2.775411,757.9808,0.049331892626571526,-0.0037722201834862385,1.0302151546041456
36.12559,-4.120186,756.1627,0.04910036017669046,-0.005599980971797486,1.0277440706761807
35.96225,-5.479641,754.1062,0.04887835541963982,-0.007447694189602446,1.0249489636425415
35.83552,-6.88186,751.9223,0.04870610941216446,-0.009353530411145089,1.021980699966021
35.75732,-8.338572,749.7721,0.04859982330954808,-0.011333431192660549,1.0190582398912675
35.70975,-9.833941,747.8411,0.04853516819571865,-0.013365872918790348,1.016433707101597
35.6538,-11.33108,746.2991,0.04845912334352701,-0.015400720353380904,1.0143378865103636
35.55189,-12.79318,745.2538,0.04832061162079511,-0.017387944274549778,1.012917159361196
35.39061,-14.20521,744.7167,0.04810140672782875,-0.019307115188583076,1.0121871559633027
35.19174,-15.58072,744.5965,0.047831111111111116,-0.021176649677200135,1.012023785253143
35.00606,-16.94843,744.7254,0.04757874277947672,-0.023035582738702,1.0121989806320082
34.89135,-18.32796,744.9097,0.047422833843017334,-0.024910581039755353,1.0124494733265377
34.88311,-19.71237,744.9874,0.04741163438668026,-0.026792212028542303,1.0125550798504928
34.97227,-21.06883,744.8739,0.0475328168535508,-0.028635854570166496,1.0124008154943935
35.10412,-22.3546,744.5818,0.04771202174651716,-0.03038341828066599,1.012003805640503
35.20262,-23.53699,744.21,0.04784589874277948,-0.03199047230716955,1.0114984709480124
35.20905,-24.60711,743.9079,0.04785463812436289,-0.033444933741080526,1.0110878695208971
35.11324,-25.58306,743.8281,0.047724417261297995,-0.03477140332993544,1.0109794087665647
34.95865,-26.50295,744.0816,0.04751430513081889,-0.03602167855929324,1.0113239551478084
34.81897,-27.4111,744.7107,0.04732445803601767,-0.037255997281685355,1.0121790010193679
34.76128,-28.34287,745.682,0.047246048250084945,-0.03852241930003398,1.0134991505266735
34.81696,-29.31373,746.9,0.04732172612979953,-0.03984197077811757,1.0151546041454298
34.97436,-30.31738,748.2332,0.047535657492354735,-0.04120608902480462,1.0169666326877336
35.19267,-31.33352,749.5452,0.047832375127421,-0.0425871831464492,1.0187498470948013
35.42572,-32.34042,750.721,0.048149126741420314,-0.043955718654434255,1.0203479442745498
35.64175,-33.32411,751.6813,0.04844274549779137,-0.045292708120964996,1.021653143051308
35.83093,-34.27925,752.3839,0.04869987088005437,-0.04659089364593951,1.0226080869860688
36.00022,-35.20423,752.8141,0.04892996262317363,-0.04784808698606864,1.023192796466191
36.16152,-36.09792,752.9729,0.04914919469928645,-0.04906275229357798,1.0234086306489976
